,strain,serotype,serovar,isolation_source,country,state,collection_date,type_material,culture_collection,note,concat_pub
GCF_000229125.1,TCI-163,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_000229465.1,TCI-219,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_000522605.1,B12Sm1,NA,NA,oral cavity,USA,NA,2003,NA,NA,NA," 1. Argimon,S., Konganti,K., Chen,H., Alekseyenko,A.V., Brown,S. and Caufield,P.W.  Comparative genomics of oral isolates of Streptococcus mutans by in silico genome subtraction does not reveal accessory DNA associated with severe early childhood caries. Infect Genet Evol 21, 269-278 (2014). 2. Argimon,S., Brown,S. and Caufield,P.  Direct Submission. Submitted (22-AUG-2012) New York University College of Dentistry, 345 East 24th St, New York, NY 10010, USA. "
GCF_020530945.1,KSM31,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_026782845.1,A14000387,NA,NA,blood,Denmark,Copenhagen,2014-01-01,NA,NA,NA," 1. Christensen,J., Jensen,C., Dargis,R., Nielsen,X., Pries- Heje,M., Wiingaard,C., Ihlemann,N., Gill,S., Bruun,N., Elming,H., Povlsen,J., Madsen,T., Jensen,K., Fuursted,K., Ostergaard,L., Christiansen,U., Rosenvinge,F., Helweg-Larsen,J., Fosbol,E., Kober,L., Torp-Pedersen,C., Tonder,N., Moser,C., Iversen,K. and Bundgaard,H.  Genomic identification of streptococcal strains and relation to clinical characteristics. A substudy to The Partial Oral Treatment of Endocarditis (POET) Trial. Med Res Arch 10 (9) (2022) In press. 2. Christensen,J.J.E., Jensen,C.S., Nielsen,X.C. and Dargis,R.  Direct Submission. Submitted (23-FEB-2022) Department of Clinical Microbiology, Region Zealand, Ingemannsvej 46, Slagelse 4200, Denmark. "
GCF_020530625.1,KSM60,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_008831345.1,T8,NA,NA,Oral cavity,Netherlands,NA,NA,NA,NA,NA," 1. Biswas,I.  Streptococcus mutans Genome sequencing and assembly. Unpublished. 2. Biswas,I.  Direct Submission. Submitted (27-SEP-2019) Department of Microbiology, Molecular Genetics and Immunology, University of Kansas Medical Center, 3901 Rainbow Blvd, Kansas City, KS 66160, USA. "
GCF_032379475.1,20QP1,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_020530545.1,KSM146,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000522945.1,B115SM-A,NA,NA,oral cavity,USA,NA,2009,NA,NA,NA," 1. Argimon,S., Konganti,K., Chen,H., Alekseyenko,A.V., Brown,S. and Caufield,P.W.  Comparative genomics of oral isolates of Streptococcus mutans by in silico genome subtraction does not reveal accessory DNA associated with severe early childhood caries. Infect Genet Evol 21, 269-278 (2014). 2. Argimon,S., Brown,S. and Caufield,P.  Direct Submission. Submitted (22-AUG-2012) New York University College of Dentistry, 345 East 24th St, New York, NY 10010, USA. "
GCF_020529325.1,KSM115,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000347895.1,NCTC 11060,f,NA,blood,Denmark,NA,NA,NA,NA,NA," 1. Song,L., Wang,W., Conrads,G., Rheinberg,A., Sztajer,H., Reck,M., Wagner-Dobler,I. and Zeng,A.P.  Genetic variability of mutans streptococci revealed by wide whole-genome sequencing. BMC Genomics 14, 430 (2013). 2. Song,L., Wang,W., Conrads,G., Wagner-Dobler,I. and Zeng,A.-P.  Direct Submission. Submitted (28-DEC-2012) Technical University of Hamburg-Harburg, Institute of Bioprocess and Biosystems Engineering, Denickestr.15, Hamburg 21071, Germany. "
GCF_002213005.1,PKUSS-3,NA,NA,carious cavity from patient susceptible to dental caries,China,NA,NA,NA,NA,NA," 1. Meng,P., Lu,C., Lin,J. and Chen,F.  Exploring the genomic diversity and cariogenic differences of Streptococcus mutans strains through pan-genome and comparative genome analysis. Unpublished. 2. Meng,P., Lu,C., Lin,J. and Chen,F.  Direct Submission. Submitted (26-MAR-2017) Department of Orthodontics, Peking University School of Stomatology, 22th South Venue, Zhongguan Village, Beijing 100081, China. "
GCF_032379335.1,24CC1,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_020529445.1,KSM104,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020530905.1,KSM150,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000339455.1,SM6,NA,NA,oral cavity,China,HongKong,2001,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (09-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_020530495.1,KSM189,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020530485.1,KSM191,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000339275.1,5SM3,NA,NA,oral cavity,Brazil,NA,NA,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (10-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000339855.1,N34,NA,NA,oral cavity,United Kingdom,NA,1997,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (15-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000522645.1,B107SM-B,NA,NA,oral cavity,USA,NA,2009,NA,NA,NA," 1. Argimon,S., Konganti,K., Chen,H., Alekseyenko,A.V., Brown,S. and Caufield,P.W.  Comparative genomics of oral isolates of Streptococcus mutans by in silico genome subtraction does not reveal accessory DNA associated with severe early childhood caries. Infect Genet Evol 21, 269-278 (2014). 2. Argimon,S., Brown,S. and Caufield,P.  Direct Submission. Submitted (22-AUG-2012) New York University College of Dentistry, 345 East 24th St, New York, NY 10010, USA. "
GCF_030739555.1,P28MB7,c,NA,teeth,Colombia,Medellin,2017,NA,NA,NA," 1. Rincon-Rodriguez,R.J., Bedoya-Correa,C.M., Herrera-P,J.C. and Arboleda-Toro,D.  Difference in bacterial genomic variability between pulsed field electrophoresis and whole genome sequencing. Unpublished. 2. Rincon-Rodriguez,R.J.  Direct Submission. Submitted (05-MAY-2023) Facultad de Odontologia, Universidad de Antioquia, calle 70 No. 52 - 2, Medellin, Antioquia 050010, Colombia. "
GCF_020531485.1,KSM154,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020531065.1,KSM30,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_032379825.1,15LT2,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_000522685.1,B09Sm1,NA,NA,oral cavity,USA,NA,2003,NA,NA,NA," 1. Argimon,S., Konganti,K., Chen,H., Alekseyenko,A.V., Brown,S. and Caufield,P.W.  Comparative genomics of oral isolates of Streptococcus mutans by in silico genome subtraction does not reveal accessory DNA associated with severe early childhood caries. Infect Genet Evol 21, 269-278 (2014). 2. Argimon,S., Brown,S. and Caufield,P.  Direct Submission. Submitted (22-AUG-2012) New York University College of Dentistry, 345 East 24th St, New York, NY 10010, USA. "
GCF_020531545.1,KSM159,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_030739515.1,P20MB6,serotype=c,NA,teeth,Colombia,Medellin,2017,NA,NA,NA," 1. Rincon-Rodriguez,R.J., Bedoya-Correa,C.M., Herrera-P,J.C. and Arboleda-Toro,D.  Difference in bacterial genomic variability between pulsed field electrophoresis and whole genome sequencing. Unpublished. 2. Rincon-Rodriguez,R.J.  Direct Submission. Submitted (05-MAY-2023) Facultad de Odontologia, Universidad de Antioquia, Calle 70 No. 52 - 2, Medellin, Antioquia 050010, Colombia. "
GCF_006739205.1,NBRC 13955,NA,NA,NA,NA,NA,NA,type strain of Streptococcus mutans,NBRC:13955,NA," 1. Miura,T., Furukawa,M., Shimamura,M., Ohyama,Y., Yamazoe,A. and Kawasaki,H.  Complete genome sequence of Streptococcus mutans NBRC 13955. Unpublished. 2. Miura,T., Furukawa,M., Shimamura,M., Ohyama,Y., Yamazoe,A. and Kawasaki,H.  Direct Submission. Submitted (10-JUN-2019) Contact:Director-General Biological Resource Center National Institute of Technology and Evaluation, Biological Resource Center, NBRC; 2-5-8 Kazusakamatari, Kisarazu, Chiba 292-0818, Japan URL :https://www.nite.go.jp/en/nbrc/. "
GCF_000339375.1,T4,NA,NA,oral cavity,United Kingdom,NA,2006,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (09-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000339975.1,N66,NA,NA,oral cavity,United Kingdom,NA,1997,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (04-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000340095.1,1ID3,e,NA,oral cavity,Brazil,NA,NA,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (10-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000339595.1,8ID3,c,NA,oral cavity,Brazil,NA,NA,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (15-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000228905.1,TCI-138,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_012642235.1,UAB-9,C,NA,plaque,USA,Alabama,2009-09-01,NA,NA,NA," 1. Momeni,S.S., Beno,S.M., Baker,J.L., Edlund,A., Ghazal,T., Childers,N.K. and Wu,H.  Caries-Associated Biosynthetic Gene Clusters in Streptococcus mutans. J Dent Res 99 (8), 969-976 (2020). 2. Momeni,S. and Childers,N.K.  Direct Submission. Submitted (21-DEC-2018) Pediatric Dentistry, University of Alabama at Birmingham, LHRB 238, 701 19th Street South, Birmingham, AL 35294-0007, USA. "
GCF_020529405.1,KSM112,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_032378815.1,35DFb1,NA,NA,saliva,France,CHUBordeaux,2019-04-20/2021-04-06,NA,NA,NA," 1. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Diversity of Streptococcus mutans in Parkinsonians'. Unpublished. 2. Claisse,O., Samot,J., Donnet,L., Le Henaff,C. and Badet,M.-C.  Direct Submission. Submitted (11-JUL-2022) Microbiologie, UR oenologie, 210 chemin de leysotte, Villenave d'Ornon 33140, France. "
GCF_020531625.1,KSM121,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Matsuo,M., Hisatsune,J., Sugai,M. and Komatsuzawa,H.  Direct Submission. Submitted (08-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020530285.1,KSM83,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020531165.1,KSM25,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000340115.1,66-2A,NA,NA,oral cavity,Iceland,NA,1990,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (09-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
GCF_000229765.1,TCI-264,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_020531285.1,KSM2,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020531225.1,KSM18,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_020529485.1,KSM187,NA,NA,oral cavity,Japan,NA,2011-01/2011-08,NA,NA,NA," 1. Watanabe,A., Kawada-Matsuo,M., Le,M.N., Hisatsune,J., Oogai,Y., Nakano,Y., Nakata,M., Miyawaki,S., Sugai,M. and Komatsuzawa,H.  Comprehensive analysis of bacteriocins in Streptococcus mutans. Sci Rep 11 (1), 12963 (2021). 2. Le,M.N.T., Komatsuzawa,H. and Matsuo,M.  Direct Submission. Submitted (07-OCT-2021) Bacteriology, Hiroshima University, 1-2-3 Kasumi Minami-ku, Hiroshima, Hiroshima 7348551, Japan. "
GCF_000229245.1,TCI-177,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_000230105.1,TCI-78,NA,NA,dental plaque,Brazil,NA,2009,NA,NA,NA," 1. Snesrud,E.C., Bretz,W.A., Ong,K., Liu,J., Sanka,R., Singh,I., Venepally,P. and Peterson,S.N.  Direct Submission. Submitted (26-SEP-2011) The J. Craig Venter Institute, 9704 Medical Center Dr., Rockville, MD 20850, USA. "
GCF_000339915.1,NLML9,NA,NA,oral cavity,United Kingdom,NA,2001,NA,NA,NA," 1. Cornejo,O.E., Lefebure,T., Bitar,P.D., Lang,P., Richards,V.P., Eilertson,K., Do,T., Beighton,D., Zeng,L., Ahn,S.J., Burne,R.A., Siepel,A., Bustamante,C.D. and Stanhope,M.J.  Evolutionary and population genomics of the cavity causing bacteria Streptococcus mutans. Mol Biol Evol 30 (4), 881-893 (2013). 2. Lefebure,T., Suzuki,H., Pavinski Bitar,P.D., Burne,R.A. and Stanhope,M.J.  Direct Submission. Submitted (07-JUL-2010) Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA. "
